experiment,date,participant,condition,age_num,gender,race,parent_income,pas,pets_now,pets_child,dog_discomfort,dog_ambivalence,dog_desire_to_interact,dog_comfort,duration_interaction,panas_pre_neg,panas_pre_pos,panas_post_neg,panas_post_pos,panas_pos_diff,panas_neg_diff,vas_anxiety_pre,vas_anxiety_post,vas_stress_pre,vas_stress_post,stai_trait,stai_state,drm_accuracy,drm_d_prime,ncpc_pre_diff,ncpc_post_diff,ncpc_diff,bds_index_pre,bds_index_post,bds_index_diff,nback_d_prime_pre,nback_d_prime_post,nback_d_prime_diff
1,2018-10-03T00:00:00Z,23,hai,21,Female,White/Caucasian,> $100000,6.888888888888889,1,1,1,1.5,4,4,NA,1.1,2.3,1.2,3.2,0.9000000000000004,0.09999999999999987,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,0,-3,-3,7,8,1,0.1783258814405173,0.5957175934622635,0.4173917120217462
1,2018-10-03T00:00:00Z,25,hai,18,Female,White/Caucasian,> $100000,5.111111111111111,0,0,2.5,3,3.6666666666666665,2.75,NA,1.2,2.1,1.3,2.5,0.3999999999999999,0.10000000000000009,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.6481433212325145,-9,-5,4,6,9,3,-2.7561925361348574,-3.9348656811204754,-1.178673144985618
1,2018-10-03T00:00:00Z,27,hai,21,Female,White/Caucasian,< $25000,6.722222222222222,1,0,1,1,4,3.5,NA,1.1,3.3,1,3.6,0.30000000000000027,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.6481433212325145,3,-4,-7,6,7,1,0.9443258832011536,0.9147401833414495,-0.029585699859704162
1,2018-10-03T00:00:00Z,29,hai,18,Female,White/Caucasian,> $100000,5.444444444444445,0,0,1.5,2,3.6666666666666665,3.25,NA,1.4,3.5,1.2,3.6,0.10000000000000009,-0.19999999999999996,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,5,4,-1,3,9,6,1.304816149963951,0.6849561433129661,-0.619860006650985
1,2018-10-03T00:00:00Z,31,hai,18,Female,White/Caucasian,$75000-$100000,6.222222222222222,1,1,1,1,4,4,NA,1.7,2.2,1.1,2.6,0.3999999999999999,-0.5999999999999999,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,-2,-3,-1,9,9,0,1.093591324367079,1.2735231913781888,0.17993186701110986
1,2018-10-17T00:00:00Z,33,hai,18,Female,White/Caucasian,$75000-$100000,6.388888888888889,1,1,2,2,3.6666666666666665,3.75,NA,1.1,3.6,1,3.8,0.19999999999999973,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.9166666666666666,1.7192658576506807,NA,NA,NA,3,8,5,1.4089443188955468,1.4670216433905727,0.058077324495025895
1,2018-10-17T00:00:00Z,35,hai,19,Female,White/Caucasian,Preferred not to answer,5.888888888888889,0,1,1,2.5,2.6666666666666665,2.75,NA,1.6,2.2,1.1,2.5,0.2999999999999998,-0.5,NA,NA,NA,NA,NA,NA,0.3333333333333333,-4.5614811363552,-2,1,3,9,9,0,-0.5098231881072542,-3.1971574610870395,-2.6873342729797853
1,2018-10-17T00:00:00Z,37,hai,21,Male,White/Caucasian,> $100000,5.944444444444445,0,0,1,1.5,2.3333333333333335,3,NA,2.6,2.7,2.3,3.2,0.5,-0.30000000000000027,NA,NA,NA,NA,NA,NA,0.75,0.1855761652749902,0,0,0,9,9,0,-0.15602774058433744,-0.4173167821708826,-0.26128904158654515
1,2018-10-17T00:00:00Z,39,hai,18,Female,Black,$50000-$75000,5.444444444444445,0,0,2.5,1.5,3.3333333333333335,3.3333333333333335,NA,1.6,2.2,1,3.3,1.0999999999999996,-0.6000000000000001,NA,NA,NA,NA,NA,NA,0.75,0.1855761652749902,0,2,2,6,6,0,-1.5590215264187866,-3.0201304725884475,-1.461108946169661
1,2018-10-17T00:00:00Z,41,hai,18,Male,White/Caucasian,$75000-$100000,5.444444444444445,1,1,1.5,2,3.6666666666666665,4,NA,1.4,2.9,1,2.6,-0.2999999999999998,-0.3999999999999999,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,2,-2,-4,7,8,1,0.8864757784873143,1.4025221593864448,0.5160463808991305
1,2018-10-19T00:00:00Z,43,hai,19,Female,White/Caucasian,> $100000,6.111111111111111,1,1,1,1.5,4,3.75,NA,1.1,2.6,1,2.9,0.2999999999999998,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,-1,-2,-1,7,7,0,0.19723278094971236,0.19717416726797077,-5.861368174159276e-5
1,2018-10-19T00:00:00Z,45,hai,18,Female,White/Caucasian,> $100000,6.388888888888889,0,1,1,2.5,NA,3,NA,1,3.2,1,3.4,0.19999999999999973,0,NA,NA,NA,NA,NA,NA,0.75,0.1855761652749902,-5,-7,-2,8,9,1,-0.7935805266591135,0.29795923928819834,1.0915397659473118
1,2018-10-19T00:00:00Z,47,hai,20,Female,Asian,Preferred not to answer,4.666666666666667,0,0,2.5,2.5,2,2.5,NA,1.8,2.3,1.7,2.9,0.6000000000000001,-0.10000000000000009,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,1,0,-1,NA,NA,NA,0.7782383298386113,0.6204566593088381,-0.1577816705297732
1,2018-10-26T00:00:00Z,49,hai,20,Female,Asian,$75000-$100000,5.388888888888889,0,1,1.5,2.5,2.6666666666666665,3,NA,2.1,3.4,1.5,2.8,-0.6000000000000001,-0.6000000000000001,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,0,3,3,NA,NA,NA,-2.601525045490438,0.42695820729645423,3.0284832527868923
1,2018-10-26T00:00:00Z,51,hai,20,Male,White/Caucasian,> $100000,5.222222222222222,0,1,1,2.5,3.6666666666666665,3.5,NA,1.4,3.4,1.2,3.6,0.20000000000000018,-0.19999999999999996,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,4,2,-2,9,9,0,0.7385031070827756,-0.5203918488055079,-1.2588949558882834
1,2018-10-26T00:00:00Z,53,hai,17,Female,White/Caucasian,< $25000,4.166666666666667,0,1,1.5,2.5,3.6666666666666665,1,NA,3.2,2.7,2,3.3,0.5999999999999996,-1.2000000000000002,NA,NA,NA,NA,NA,NA,0.9166666666666666,1.7192658576506807,-3,0,3,5,9,4,-2.3567349881553197,-3.8017938409879632,-1.4450588528326436
1,2018-10-26T00:00:00Z,55,hai,20,Female,Black,> $100000,6.611111111111111,0,1,1,1,3,3.5,NA,4.3,1.5,5,2.2,0.7000000000000002,0.7000000000000002,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,0,0,0,5,5,0,-0.11812021357875535,-0.3551072927811525,-0.23698707920239714
1,2018-10-26T00:00:00Z,57,hai,19,Female,White/Caucasian,< $25000,6.333333333333333,0,1,1,1.5,4,4,NA,1.4,2.7,1,3.1,0.3999999999999999,-0.3999999999999999,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.9524210114628358,-1,0,1,5,5,0,1.5429113880591891,0.050993209377640014,-1.4919181786815492
1,2018-10-31T00:00:00Z,59,hai,19,Female,White/Caucasian,Preferred not to answer,5.777777777777778,1,1,2,1,3.5,3,NA,1,1.8,1.1,2.3,0.4999999999999998,0.10000000000000009,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,-3,-1,2,8,8,0,0.9765983451780136,0.9792396673455774,0.002641322167563853
1,2018-10-31T00:00:00Z,61,hai,20,Female,White/Caucasian,$75000-$100000,6.111111111111111,0,1,1,1.5,4,3.75,NA,1.6,3.6,1.3,3.3,-0.30000000000000027,-0.30000000000000004,NA,NA,NA,NA,NA,NA,0.75,-0.11870152495533048,-1,-1,0,7,5,-2,0.9187482404641742,0.6610335266310007,-0.25771471383317357
1,2018-10-31T00:00:00Z,63,hai,17,Female,Asian,$25000-$50000,6.833333333333333,0,1,1.5,1,4,3.75,NA,1.1,3,1.2,4.1,1.0999999999999996,0.09999999999999987,NA,NA,NA,NA,NA,NA,0.9166666666666666,1.7192658576506807,-2,0,2,9,9,0,1.0667209118687129,1.4670216433905727,0.40030073152185985
1,2018-10-31T00:00:00Z,65,hai,18,Female,White/Caucasian,Preferred not to answer,4.055555555555555,1,1,1,2.5,3.6666666666666665,2.25,NA,1,4.2,1,4.1,-0.10000000000000053,0,NA,NA,NA,NA,NA,NA,0.8333333333333334,0.6481433212325145,NA,NA,NA,4,6,2,-0.7235383274534934,-1.385957320334578,-0.6624189928810846
